# GSE103092.analysis.more.ids3.Rmd 
# 1593285614 
# Input file: geo.datasets/GSE103092/GSE103092.txt 
"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"
"A_33_P3264593"	0.4830933	0.0533	-2.134	-4.221032	-0.3998376	"MAGEC2"
"A_23_P62099"	0.7172031	0.234	1.2511271	-5.4601	0.5657556	"MAGEC2"
"A_33_P3314902"	0.6959172	0.205	-1.3363202	-5.359689	-0.2572981	"BIRC6"
"A_23_P133648"	0.8599844	0.496	0.7013656	-5.973721	0.2218135	"FAM8A1"
"A_23_P38041"	0.9334067	0.709	-0.3819222	-6.148765	-0.1098203	"NAGPA"
"A_24_P139665"	0.726283	0.244	-1.2240364	-5.490971	-1.3938507	"HPCAL4"
"A_23_P103414"	0.7923136	0.356	-0.958214	-5.764649	-0.1448561	"YTHDF2"
"A_23_P26895"	0.8931441	0.576	0.5744182	-6.055034	0.1629771	"TUBD1"
"A_33_P3240538"	0.9774182	0.892	0.1379485	-6.214172	0.0686738	"TUBE1"
"A_33_P3268368"	0.9373849	0.729	0.3536603	-6.159439	0.1117503	"FZR1"
"A_24_P387321"	0.9791893	0.902	0.1255644	-6.215864	0.0439111	"ZNF44"
"A_23_P31335"	0.7032005	0.216	1.3042744	-5.398042	0.3034982	"ZNF12"
"A_23_P253123"	0.943182	0.751	0.3246954	-6.169544	0.0868191	"VGLL1"
"A_24_P20630"	0.9999231	0.999	-0.0006649	-6.224044	-0.0004495	"LEF1"
"A_23_P119196"	0.2193993	0.00543	3.3554985	-2.118532	1.2205231	"KLF2"
"A_23_P89755"	0.8256098	0.422	-0.8299845	-5.876242	-0.2004639	"RNF138"
"A_32_P179676"	0.9417579	0.746	-0.3305782	-6.16756	-0.0957119	"TOB2"
"A_33_P3373403"	0.7010128	0.212	1.3138291	-5.38668	0.3778281	"PLEKHO1"
"A_33_P3330039"	0.8931607	0.576	0.5740006	-6.055276	0.1352965	"PLEKHO1"
"A_33_P3290667"	0.5536635	0.0878	-1.8515669	-4.65888	-0.3705204	"SELENOT"
"A_33_P3305851"	0.4975686	0.0596	-2.0712815	-4.320842	-0.6427684	"SELENOT"
"A_33_P3290672"	0.4145717	0.0314	-2.4223957	-3.746824	-0.5703782	"SELENOT"
"A_33_P3424297"	0.6545684	0.162	-1.4843713	-5.173817	-0.2842118	"SELENOT"
"A_23_P70794"	0.7601737	0.299	1.0847093	-5.641237	0.4317594	"RAB23"
"A_23_P92999"	0.9260493	0.684	0.4172839	-6.134284	0.3192173	"CDH9"
"A_33_P3346102"	0.9693063	0.862	0.1778759	-6.207638	0.0344574	"TAOK3"
"A_23_P2203"	0.8941803	0.58	-0.5685	-6.058453	-0.2333562	"TAOK3"
"A_33_P3263061"	0.4023369	0.0291	-2.4636614	-3.67724	-0.5889268	"AK3"
"A_24_P247106"	0.6696478	0.177	-1.4321328	-5.240982	-0.3712871	"AK3"
"A_23_P44166"	0.4069291	0.03	-2.4467704	-3.705767	-0.3906228	"DCXR"
"A_33_P3414695"	0.7913207	0.354	0.9615881	-5.761525	0.2795975	"HP1BP3"
"A_24_P944616"	0.4887006	0.0561	-2.1053998	-4.266713	-0.3497582	"HP1BP3"
"A_23_P79426"	0.4422822	0.0378	-2.321827	-3.914748	-0.484667	"CAB39"
"A_23_P317691"	0.9650258	0.845	-0.2002018	-6.203269	-0.0563971	"UIMC1"
"A_23_P6836"	0.6032008	0.118	-1.6773962	-4.911873	-0.3736878	"IP6K2"
"A_23_P3849"	0.5463125	0.0832	-1.8825203	-4.61245	-0.4577698	"TRAP1"
"A_23_P162386"	0.9835206	0.923	-0.0988586	-6.218972	-0.0297559	"BIN2"
"A_24_P940517"	0.3857786	0.0255	-2.5357146	-3.554885	-0.6341504	"PCYOX1"
"A_32_P180958"	0.4787694	0.0515	-2.1522746	-4.191703	-0.636826	"PCYOX1"
"A_24_P280684"	0.8176993	0.404	0.8642248	-5.847821	0.2256044	"FBXO40"
"A_23_P63829"	0.8217048	0.415	-0.8432836	-5.865324	-0.1748735	"HSPA14"
"A_23_P315602"	0.5321996	0.0751	-1.9410035	-4.52361	-0.6103479	"ARPP21"
"A_33_P3398401"	0.7898667	0.352	-0.9665108	-5.756951	-0.1547697	"CRBN"
"A_23_P34142"	0.266185	0.00883	-3.0977197	-2.57507	-0.986688	"TCEAL9"
"A_23_P65768"	0.6963065	0.206	-1.3343491	-5.362068	-0.3312254	"RSL24D1"
"A_23_P166698"	0.7541138	0.287	1.1125646	-5.612364	0.2560949	"SS18L2"
"A_23_P166899"	0.7605463	0.299	-1.0830828	-5.642905	-0.2007366	"DNAJB11"
"A_23_P83298"	0.8556789	0.486	0.7180251	-5.961937	0.169224	"PRRX2"
"A_33_P3317988"	0.9803868	0.907	0.1195813	-6.216624	0.0203876	"CMPK1"
"A_23_P115366"	0.4462938	0.0393	-2.301203	-3.948871	-0.4742841	"CMPK1"
"A_23_P112825"	0.7424976	0.269	1.1578316	-5.56418	0.207218	"LCMT1"
"A_24_P382001"	0.5028715	0.0621	-2.0489916	-4.355984	-0.4092686	"POLR3K"
"A_33_P3228385"	0.5154636	0.0675	-2.0016376	-4.430039	-0.6705639	"ATP5IF1"
"A_23_P105519"	0.9435516	0.752	0.3228132	-6.170171	0.0716117	"WBP11"
"A_33_P3334037"	0.9126509	0.64	0.4791615	-6.105958	0.1046799	"WBP11"
"A_32_P153388"	0.7865196	0.345	-0.9803582	-5.743977	-0.2493387	"GULP1"
"A_23_P332399"	0.8567071	0.488	0.7148597	-5.964196	0.1710544	"GULP1"
"A_33_P3407324"	0.7638724	0.305	-1.0696836	-5.656563	-0.2399148	"GULP1"
"A_24_P291426"	0.9247245	0.679	0.4240419	-6.131375	0.0804559	"REV1"
"A_23_P2474"	0.7559483	0.291	-1.1029066	-5.622443	-0.2671523	"COPS7A"
"A_23_P203586"	0.8814547	0.547	-0.6193872	-6.027963	-0.1293379	"NUP98"
"A_23_P151975"	0.8050627	0.379	0.9123603	-5.806158	0.6197125	"RHCG"
"A_24_P115511"	0.7777107	0.328	-1.0170007	-5.708893	-0.2512667	"RAB14"
"A_23_P110196"	0.0070398	8.35e-06	7.2244709	3.86856	4.6444817	"HERC5"
"A_33_P3308468"	0.8420101	0.458	0.7662534	-5.926399	0.2622446	"UPB1"
"A_23_P120822"	0.9586971	0.819	0.2334249	-6.195818	0.1001737	"UPB1"
"A_33_P3350823"	0.7987539	0.367	-0.9355606	-5.785375	-0.4696504	"ZNF639"
"A_23_P129486"	0.62713	0.138	-1.5862816	-5.038114	-0.6410522	"MSRB1"
"A_33_P3353343"	0.5362874	0.0782	1.9185247	-4.557925	0.6296407	"SRRM2"
"A_23_P323166"	0.7793147	0.332	1.0096806	-5.715988	0.2869768	"SRRM2"
"A_23_P1056"	0.7351317	0.256	1.1905697	-5.528379	0.2550841	"GPR89B"
"A_33_P3239295"	0.9854292	0.931	-0.087844	-6.220039	-0.027308	"PRODH"
"A_33_P3338341"	0.9728259	0.877	-0.1581141	-6.211078	-0.044205	"PRODH"
"A_23_P140427"	0.913824	0.644	-0.4738197	-6.108553	-0.2031549	"EVL"
"A_23_P30264"	0.8735292	0.525	-0.6534677	-6.006174	-0.178727	"IPO11"
"A_23_P152970"	0.9339648	0.711	-0.3791872	-6.149833	-0.1232143	"RAPGEFL1"
"A_23_P144999"	0.5065726	0.0636	-2.0348717	-4.378152	-0.4039713	"RAPGEF6"
"A_33_P3346669"	0.8523146	0.48	0.7279901	-5.954767	0.1356813	"PLCE1"
"A_23_P35617"	0.9205988	0.667	-0.4404819	-6.124108	-0.1129731	"PLCE1"
"A_24_P96780"	0.4962967	0.0593	-2.0742582	-4.316135	-1.2491868	"CENPF"
"A_23_P401"	0.306101	0.0126	-2.91047	-2.905113	-2.2766339	"CENPF"
"A_33_P3226192"	0.7937519	0.359	0.9519597	-5.770414	0.4079347	"NR2E3"
"A_33_P3223958"	0.8368811	0.445	-0.7879037	-5.909765	-0.1863596	"NAT8B"
"A_24_P308506"	0.9758389	0.885	-0.1473403	-6.212783	-0.0297987	"NAT8B"
"A_24_P412512"	0.8276016	0.425	-0.8239389	-5.881154	-0.2221788	"NIN"
"A_23_P19754"	0.8594094	0.494	-0.7044018	-5.971592	-0.1855781	"CPA4"
"A_33_P3267665"	0.5239469	0.0714	-1.9699643	-4.479098	-0.4931138	"ZDHHC2"
"A_23_P5903"	0.4450788	0.0388	2.3076069	-3.938288	1.4965775	"SLCO4A1"
"A_23_P65089"	0.9114592	0.636	-0.4846363	-6.103271	-0.0836353	"DDX47"
"A_33_P3212109"	0.8940221	0.579	-0.5693033	-6.057991	-0.3348874	"DCDC2"
"A_23_P151267"	0.8641304	0.504	-0.688091	-5.982928	-0.2064506	"LIMA1"
"A_23_P110837"	0.9628343	0.833	0.2149398	-6.200103	0.0394587	"IRX4"
"A_33_P3350488"	0.4205422	0.033	-2.3967403	-3.789893	-1.9370182	"NUSAP1"
"A_23_P73142"	0.9051411	0.617	-0.5124701	-6.089153	-0.1059135	"TACO1"
"A_23_P160240"	0.8565285	0.487	-0.7154635	-5.963765	-0.3497235	"ACP6"
"A_23_P40956"	0.7982954	0.365	0.9398334	-5.781499	0.8430603	"GHRL"
"A_24_P241057"	0.5794007	0.104	-1.7512516	-4.806378	-0.8144223	"CABP2"
"A_33_P3306504"	0.6950927	0.204	-1.3388569	-5.356623	-0.5168813	"ISYNA1"
"A_23_P5131"	0.8072369	0.383	-0.9036876	-5.81381	-0.4230861	"ISYNA1"
"A_33_P3240752"	0.918818	0.661	-0.4491803	-6.120155	-0.1213387	"CLDN18"
"A_23_P406448"	0.9893119	0.953	0.0596433	-6.222198	0.0166414	"RAB9B"
"A_24_P126139"	0.4390902	0.0369	-2.3356921	-3.891746	-0.7177164	"RAB9B"
"A_23_P11859"	0.8458317	0.465	0.7530254	-5.936356	0.3703519	"HSD17B7"
"A_33_P3276369"	0.8527317	0.481	0.7261797	-5.956077	0.3269788	"HSD17B7"
"A_33_P3225487"	0.7727374	0.32	1.0361238	-5.690153	0.554502	"HSD17B7"
"A_23_P71972"	0.7902245	0.353	-0.9656549	-5.757748	-0.2986776	"WWOX"
"A_23_P201951"	0.6834739	0.192	1.379961	-5.306357	0.22026	"ARID4B"
"A_33_P3300142"	0.9295533	0.694	0.4028558	-6.140343	0.0918598	"ANKFY1"
"A_23_P259594"	0.8422799	0.459	-0.7643939	-5.927809	-0.3172231	"AKAP7"
"A_32_P33083"	0.9361403	0.722	-0.3637251	-6.15573	-0.5123298	"VCX2"
"A_24_P230282"	0.7920788	0.356	-0.9586647	-5.764232	-0.7264447	"VCX2"
"A_33_P3383866"	0.0109972	1.67e-05	6.7467475	3.253917	1.6196109	"TREX1"
"A_23_P85453"	0.808222	0.385	-0.9007218	-5.816412	-0.9051531	"CD244"
"A_23_P96611"	0.7929456	0.358	0.9552893	-5.767348	0.2942975	"LUZP4"
"A_23_P212568"	0.8793387	0.542	-0.626614	-6.023434	-0.112086	"TRAT1"
"A_23_P9392"	0.9041627	0.612	-0.5195329	-6.08545	-0.1589079	"SPOUT1"
"A_33_P3361257"	0.7389291	0.262	1.17417	-5.546412	0.2417738	"NOP16"
"A_33_P3365676"	0.8936407	0.578	-0.5707608	-6.057151	-0.1346013	"HACD3"
"A_23_P99927"	0.8832238	0.552	-0.6118005	-6.032665	-0.130272	"HACD3"
"A_32_P76060"	0.9188138	0.661	-0.4492213	-6.120136	-0.0941855	"CTDSPL2"
"A_23_P128408"	0.8334364	0.439	-0.7995719	-5.900627	-0.1539345	"TRIAP1"
"A_23_P117683"	0.9415642	0.746	-0.3317907	-6.167147	-0.0535422	"HYPK"
"A_23_P139396"	0.664511	0.171	-1.4511052	-5.216782	-0.3648488	"HIKESHI"
"A_23_P98218"	0.988713	0.95	-0.0636773	-6.22194	-0.0122311	"CWC15"
"A_23_P12992"	0.9029503	0.61	0.5238941	-6.08314	0.1176185	"TRMT112"
"A_23_P103905"	0.7057686	0.218	-1.2958618	-5.407995	-0.1922515	"UFC1"
"A_23_P210619"	0.9778371	0.894	-0.1353458	-6.214541	-0.0258223	"RTF2"
"A_33_P3296303"	0.4136263	0.0313	2.4243704	-3.743503	0.692019	"CHMP5"
"A_23_P83278"	0.3938725	0.0272	2.499465	-3.616571	0.6750554	"CHMP5"
"A_33_P3413020"	0.7080078	0.222	-1.2855745	-5.420101	-0.3231618	"CPB2"
"A_23_P65370"	0.2862262	0.0106	-3.0015464	-2.744862	-0.5532429	"GLRX5"
"A_24_P372625"	0.0055471	5.37e-06	-7.540082	4.255271	-1.1784608	"RNF141"
"A_24_P35891"	0.6422987	0.151	-1.5288227	-5.115368	-0.5787153	"ZNF219"
"A_33_P3291569"	0.9864803	0.939	0.0785255	-6.220844	0.0174488	"LUC7L3"
"A_23_P57588"	0.3905392	0.0266	-2.5114375	-3.596226	-1.7288185	"GTSE1"
"A_23_P141706"	0.8488971	0.473	0.739331	-5.946497	0.1923133	"ELOA2"
"A_23_P141429"	0.5585239	0.0914	-1.8286406	-4.692998	-1.0427326	"ABI3"
"A_23_P101093"	0.4732111	0.0496	-2.1732356	-4.157929	-0.7990066	"COPZ2"
"A_33_P3266419"	0.6080778	0.122	-1.6609026	-4.935053	-0.5582085	"GLTP"
"A_23_P378526"	0.8476348	0.471	-0.7437677	-5.94323	-0.2157003	"RTEL1"
"A_24_P181944"	0.982336	0.915	0.1083163	-6.217956	0.0378943	"PHF20"
"A_24_P297098"	0.8949939	0.582	-0.564506	-6.060742	-0.1236763	"PHF20"
"A_23_P78014"	0.8246121	0.42	-0.8331577	-5.873651	-0.1774674	"TUBG2"
"A_23_P207354"	0.9475508	0.771	0.297912	-6.178133	0.089789	"HIGD1B"
"A_23_P107933"	0.998604	0.993	0.008888	-6.224004	0.003817	"VRK3"
"A_24_P11575"	0.7453548	0.272	1.1483795	-5.574369	0.3314028	"CRIM1"
"A_24_P63537"	0.5420269	0.0805	-1.9019042	-4.583163	-0.4511767	"ERAP1"
"A_23_P151506"	0.9756196	0.884	-0.148796	-6.21256	-0.1570927	"PLEK2"
"A_33_P3266828"	0.7727831	0.32	-1.0351174	-5.691146	-0.649911	"TMEM8B"
"A_23_P71053"	0.8970051	0.59	0.5523357	-6.06762	0.2365759	"MPP6"
"A_23_P10385"	0.306101	0.0126	-2.9082543	-2.909004	-1.7996928	"DTL"
"A_24_P91701"	0.0675751	0.000439	4.7266998	0.247124	0.83014	"DRICH1"
"A_33_P3287263"	0.8143064	0.396	-0.8793644	-5.83493	-0.135813	"COPB1"
"A_24_P100673"	0.949982	0.783	-0.2817156	-6.182973	-0.0466914	"EMC4"
"A_23_P106481"	0.9758389	0.885	0.1476482	-6.212736	0.0318034	"EMC4"
"A_33_P3239405"	0.4506121	0.0409	-2.2789164	-3.985617	-0.4424808	"TMEM9"
"A_23_P114952"	0.3074991	0.0128	-2.9020415	-2.91991	-0.475512	"TMEM9"
"A_23_P78802"	0.1899645	0.00388	3.53429	-1.80198	0.6753844	"PRKD2"
"A_23_P61268"	0.7525473	0.285	-1.1174203	-5.60727	-0.3611527	"HGH1"
"A_23_P84596"	0.7826226	0.338	0.9964446	-5.728709	0.2062571	"MZB1"
"A_23_P111288"	0.6374249	0.147	-1.5468158	-5.091379	-0.2458934	"TMEM14C"
"A_23_P399001"	0.7601737	0.297	-1.0872817	-5.638596	-0.2791879	"CXXC5"
"A_23_P24723"	0.5874885	0.109	1.7264261	-4.842142	0.5644515	"TMEM138"
"A_33_P3294053"	0.7274906	0.246	-1.218368	-5.497364	-0.3116239	"ANKRD39"
"A_23_P120194"	0.9283176	0.69	-0.4079217	-6.138239	-0.108847	"ORMDL1"
"A_24_P371053"	0.9790577	0.901	0.1272444	-6.215644	0.0421238	"ORMDL1"
"A_23_P53957"	0.9843404	0.927	0.0936513	-6.219492	0.0292858	"COX16"
"A_23_P79818"	0.0323879	0.000105	5.5680588	1.57978	1.1383254	"OSER1"
"A_23_P205336"	0.6947454	0.204	-1.3415953	-5.353309	-0.3614139	"GSKIP"
"A_33_P3294881"	0.8142719	0.396	0.8795806	-5.834745	0.137497	"CCDC174"
"A_33_P3362521"	0.948048	0.774	-0.292967	-6.179639	-0.1127663	"CCDC174"
"A_23_P380965"	0.7824708	0.338	-0.9969464	-5.728229	-0.1566148	"JKAMP"
"A_23_P205584"	0.6012754	0.117	-1.6829137	-4.904087	-0.4614301	"JKAMP"
"A_23_P215088"	0.9247245	0.679	0.4240336	-6.131378	0.0636473	"ZC3HC1"
"A_33_P3270636"	0.864368	0.504	-0.687379	-5.983417	-0.1379832	"SHISA5"
"A_24_P394246"	0.8174447	0.403	0.8650835	-5.847095	0.1705397	"SHISA5"
"A_23_P212475"	0.6244139	0.135	1.5970275	-5.02346	0.2764125	"SHISA5"
"A_23_P257726"	0.8924456	0.574	-0.5778323	-6.053046	-0.1039189	"TRMO"
"A_24_P212860"	0.6422987	0.151	-1.5288398	-5.115345	-0.492572	"TRMO"
"A_33_P3290622"	0.6780644	0.186	-1.4001249	-5.281296	-0.3774491	"PDZD11"
"A_33_P3219260"	0.6535971	0.162	-1.4876389	-5.169561	-0.3754487	"PDZD11"
"A_23_P42368"	0.8527633	0.481	-0.725924	-5.956261	-0.1316642	"VTA1"
"A_24_P294982"	0.8298752	0.432	-0.8126929	-5.890206	-0.1724594	"VTA1"
"A_23_P104151"	0.7371475	0.258	-1.1841226	-5.535492	-0.2150918	"TMEM69"
"A_23_P259333"	0.4795883	0.0519	-2.1485414	-4.197703	-0.4985149	"MTRES1"
"A_32_P357301"	0.93655	0.724	-0.3609068	-6.156778	-0.1200834	"PPHLN1"
"A_24_P231546"	0.8996179	0.599	-0.5400455	-6.074423	-0.089807	"FAM178B"
"A_23_P135474"	0.9297668	0.695	-0.4009052	-6.141146	-0.1180765	"MRPL37"
"A_33_P3297921"	0.6756302	0.183	-1.4090223	-5.270155	-0.3258361	"MRPL37"
"A_23_P254498"	0.6895415	0.198	-1.3582593	-5.333034	-0.249322	"RANGRF"
"A_23_P55136"	0.5830641	0.106	-1.739922	-4.822737	-0.3131127	"RANGRF"
"A_23_P108708"	0.9528617	0.795	0.2660974	-6.187388	0.0735249	"RNF181"
"A_23_P111273"	0.984892	0.929	-0.0905877	-6.219785	-0.0245377	"TBC1D7"
"A_23_P33683"	0.2482171	0.00749	-3.184927	-2.420764	-0.7259623	"MARCHF2"
"A_23_P99138"	0.7871459	0.347	-0.9778875	-5.746304	-0.2374136	"MRPL51"
"A_23_P29204"	0.6608298	0.169	1.4605391	-5.204667	0.4754003	"MTFP1"
"A_23_P125837"	0.9373849	0.729	-0.354874	-6.158997	-0.0750759	"PBDC1"
"A_23_P49768"	0.9496527	0.781	0.2838734	-6.182344	0.0451429	"MRPL27"
"A_23_P96976"	0.8929687	0.575	-0.5750416	-6.054672	-0.130201	"ZCCHC17"
"A_33_P3345255"	0.1861252	0.00371	-3.5571249	-1.761617	-0.9574509	"KBTBD4"
"A_23_P202696"	0.3896726	0.0264	-2.5159371	-3.588572	-0.5705524	"KBTBD4"
"A_33_P3315801"	0.6492098	0.157	1.5036948	-5.148553	0.3551886	"CDK12"
"A_24_P198820"	0.697645	0.208	-1.3275655	-5.370235	-0.3131207	"CDK12"
"A_23_P110643"	0.9689745	0.858	0.1826831	-6.206741	0.0963044	"CDKL3"
"A_33_P3236071"	0.9780699	0.896	0.1331071	-6.214852	0.0421491	"CLEC1B"
"A_33_P3236065"	0.7398671	0.263	-1.1718593	-5.548937	-0.478592	"CLEC1B"
"A_33_P3332955"	0.7734409	0.321	-1.0323642	-5.69386	-0.308149	"CLEC1B"
"A_23_P345065"	0.9240122	0.676	-0.4275031	-6.129867	-0.2066388	"SCLY"
"A_33_P3295333"	0.9828571	0.92	-0.1029586	-6.218543	-0.0876607	"CLEC1A"
"A_23_P425116"	0.7685623	0.313	-1.0512565	-5.675117	-0.4993342	""
"A_23_P425116"	0.7685623	0.313	-1.0512565	-5.675117	-0.4993342	"SPAG11B"
"A_24_P115424"	0.971665	0.872	-0.1650564	-6.209915	-0.0535806	""
"A_24_P115424"	0.971665	0.872	-0.1650564	-6.209915	-0.0535806	"SPAG11B"
"A_23_P344988"	0.7669363	0.31	-1.0582257	-5.668131	-0.191002	"CILK1"
"A_23_P131737"	0.7783826	0.331	1.0123878	-5.713369	0.2000551	"VPS54"
"A_24_P199929"	0.8742775	0.528	0.6484182	-6.009472	0.1379922	"VPS54"
"A_23_P164258"	0.4629146	0.0459	-2.2167363	-4.087402	-0.5713493	"PIPOX"
"A_23_P44867"	0.9687608	0.857	0.1835651	-6.206574	0.0330292	"AMBN"
"A_23_P9443"	0.8152571	0.397	-0.8766395	-5.837265	-0.1485765	"C9orf78"
"A_23_P10518"	0.7601737	0.298	-1.0850397	-5.640898	-0.4740847	"TFDP3"
"A_33_P3274501"	0.8491457	0.474	-0.7385152	-5.947096	-0.35555	"KLRF1"
"A_32_P158966"	0.9340298	0.711	-0.378672	-6.150033	-0.1932976	"KLRF1"
"A_23_P163697"	0.8731224	0.524	-0.6553337	-6.00495	-0.4918461	"SYT17"
"A_23_P123866"	0.3559572	0.0202	2.6590066	-3.343299	0.5017405	"UBAP1"
"A_33_P3330384"	0.7968699	0.363	0.943912	-5.777784	0.1655287	"BET1L"
"A_24_P386639"	0.9400316	0.738	-0.3413892	-6.163823	-0.0567719	"BET1L"
"A_23_P258612"	0.897659	0.592	-0.5493362	-6.069294	-0.4186728	"ATP8A2"
"A_33_P3286864"	0.7582746	0.295	1.0941142	-5.631556	0.2460395	"ATP8A2"
"A_33_P3286859"	0.9693894	0.863	-0.1766711	-6.20786	-0.1133633	"ATP8A2"
"A_23_P317465"	0.9193348	0.663	0.4457896	-6.121705	0.1897674	"RAB8B"
"A_24_P414376"	0.5454744	0.0822	1.8895734	-4.601812	0.5002559	"KLF3"
"A_23_P48109"	0.0521147	0.000258	-5.0330772	0.745135	-1.0511967	"NINJ2"
"A_23_P4798"	0.8695755	0.515	-0.6695846	-5.995492	-0.149562	"ZNF581"
"A_23_P108342"	0.7727831	0.32	-1.0354344	-5.690833	-0.1926117	"ZNF571"
"A_23_P66813"	0.7246218	0.242	1.228751	-5.485636	0.3128769	"SIRT7"
"A_33_P3391727"	0.7873461	0.347	0.9770696	-5.747073	0.3182904	"SIRT7"
"A_23_P208847"	0.6412163	0.15	1.5325476	-5.110417	0.299865	"SIRT6"
"A_24_P944131"	0.9361403	0.722	0.3644364	-6.155464	0.2449032	"GPR83"
"A_23_P54736"	0.7837935	0.341	0.9901175	-5.734739	0.4979498	"GNG13"
"A_23_P32414"	0.9756879	0.884	-0.1484954	-6.212606	-0.0566259	"STK26"
"A_23_P17275"	0.5869644	0.108	1.7284516	-4.839236	0.4954777	"DNAJC27"
"A_32_P13795"	0.9536838	0.799	-0.2599999	-6.189044	-0.0581606	"DNAJC27"
"A_23_P86330"	0.6919523	0.201	1.3512479	-5.341587	0.4214368	"IER5"
"A_23_P363968"	0.6153376	0.128	-1.6301625	-4.977873	-0.6705142	"C1RL"
"A_33_P3257728"	0.6673273	0.175	-1.4381395	-5.233345	-0.4812673	"C1RL"
"A_23_P146512"	0.5297314	0.074	-1.9499935	-4.509828	-0.877662	"GOLM1"
"A_33_P3231653"	0.7484662	0.277	-1.1371509	-5.586385	-0.4312521	"GOLM1"
"A_23_P47857"	0.4141699	0.0314	-2.423292	-3.745317	-0.4524306	"TM7SF3"
"A_32_P52816"	0.5191186	0.0696	-1.9846795	-4.456354	-0.7224306	"TM7SF3"
"A_33_P3315554"	0.8908873	0.569	-0.5844617	-6.049155	-0.2535991	"ANKMY1"
"A_33_P3418010"	0.6587884	0.167	1.4682248	-5.194756	0.5291825	"NUP62"
"A_23_P6196"	0.8748067	0.53	-0.6455739	-6.011318	-0.1741369	"SCAND1"
"A_23_P259003"	0.9942432	0.978	-0.0282657	-6.22363	-0.0148134	"PEX5L"
"A_23_P65963"	0.9221782	0.672	0.4340241	-6.126994	0.0810412	"BFAR"
"A_23_P85240"	0.629241	0.141	-1.5737091	-5.055178	-1.6166235	"TLR7"
"A_24_P150580"	0.4790447	0.0517	-2.1505459	-4.194482	-0.9023546	"RASL12"
"A_33_P3323945"	0.8482575	0.472	-0.7416756	-5.944773	-0.1868237	"CEND1"
"A_33_P3278435"	0.5777053	0.104	-1.7558595	-4.799706	-0.5611494	"COA4"
"A_23_P363365"	0.3083811	0.013	-2.8930394	-2.935708	-0.7226744	"RXFP3"
"A_23_P383819"	0.5149431	0.067	2.0062969	-4.42279	0.6449798	"TBX3"
"A_23_P13772"	0.6648816	0.172	1.4480523	-5.220692	0.4921797	"TBX3"
"A_23_P139509"	0.927076	0.688	-0.4113604	-6.136797	-0.1403045	"ERGIC2"
"A_23_P93169"	0.9448357	0.758	0.3153053	-6.172638	0.1012218	"LGSN"
"A_33_P3315959"	0.5490518	0.0852	-1.8692368	-4.632426	-0.6042802	"LGSN"
"A_23_P56228"	0.9863213	0.937	0.0804531	-6.220685	0.0197489	"GMIP"
"A_24_P475349"	0.8289475	0.43	-0.8163617	-5.887265	-0.611359	"RAB6B"
"A_23_P139388"	0.7620281	0.302	-1.0766256	-5.649504	-0.1580547	"RSF1"
"A_23_P119698"	0.7686755	0.313	-1.0507439	-5.675629	-0.2417835	"CD320"
"A_23_P423309"	0.8552755	0.485	-0.718836	-5.961357	-0.3199864	"PCDH12"
"A_23_P119295"	0.5972091	0.115	1.696065	-4.885466	0.4246228	"ECSIT"
"A_23_P75786"	0.6144086	0.127	1.6341782	-4.972308	0.3400018	"SLC15A3"
"A_23_P76078"	0.9905714	0.96	0.0515318	-6.222666	0.0259702	"IL23A"
"A_23_P131074"	0.7670818	0.31	1.057354	-5.669007	0.2485795	"THEG"
"A_23_P2922"	0.8305689	0.433	-0.8103068	-5.892113	-0.1950441	"MBIP"
"A_23_P31315"	0.537128	0.0784	-1.9168976	-4.560401	-0.4670572	"CBX3"
"A_23_P414519"	0.9199299	0.665	0.4432884	-6.122841	0.2005545	"NRN1"
"A_23_P18413"	0.8955737	0.586	-0.5589426	-6.063904	-0.1089875	"TIMMDC1"
"A_23_P122077"	0.4532942	0.0417	2.2693809	-4.001297	0.4103242	"GCNT4"
"A_24_P53595"	0.9622919	0.831	-0.217473	-6.199537	-0.0526764	"GNAS"
"A_23_P133712"	0.7283061	0.246	1.2162832	-5.499709	0.7138697	"CYP39A1"
"A_23_P25121"	0.7895541	0.351	0.9679207	-5.755637	0.3595868	"FKBP11"
"A_33_P3267296"	0.8117424	0.391	0.8881133	-5.827392	0.3281819	"FKBP11"
"A_33_P3327479"	0.8929113	0.575	0.5752129	-6.054572	0.1962897	"ZDHHC3"
"A_24_P351420"	0.8172225	0.402	-0.8682422	-5.844419	-0.2915679	"ZDHHC3"
"A_24_P166126"	0.9863213	0.937	-0.0804901	-6.220682	-0.0191389	"MYOZ2"
"A_33_P3221303"	0.8974348	0.592	0.5499227	-6.068967	0.277417	"CCR10"
"A_23_P136460"	0.7231193	0.24	1.2345679	-5.479032	0.4250168	"FAM13B"
"A_23_P7783"	0.6586369	0.167	-1.4690265	-5.19372	-0.2246996	"KDM3B"
"A_23_P167789"	0.942769	0.75	-0.3258964	-6.169142	-0.0756212	"FAM53C"
"A_23_P19182"	0.1414664	0.00209	-3.8657299	-1.218846	-1.5198435	"REEP2"
"A_24_P23411"	0.7854206	0.344	-0.9844974	-5.740069	-0.3497628	"ARMCX3"
"A_23_P22682"	0.9778601	0.895	-0.1344489	-6.214666	-0.0865847	"ARMCX1"
"A_24_P330385"	0.8407993	0.454	-0.7735611	-5.920832	-0.1485866	"SLC22A17"
"A_33_P3343210"	0.6340095	0.144	1.5601862	-5.073433	0.7664483	"SLC25A37"
